,canvasUserId,problemID,stepID,hintID,eventType,isCorrect,firstAttempt,time,skills
0,f90122eafea1a7cb593c301756e127e1d0b764fa,a1b4294cond9,a1b4294cond9a,,unlockHint,,,2022-02-07 23:20:28.550,"['conditional_probability', 'independence_and_bayes’_theorem']"
1,f90122eafea1a7cb593c301756e127e1d0b764fa,a1b4294cond9,a1b4294cond9a,,unlockHint,,,2022-02-07 23:20:29.376,"['conditional_probability', 'independence_and_bayes’_theorem']"
2,f90122eafea1a7cb593c301756e127e1d0b764fa,a1b4294cond9,a1b4294cond9a,,answerStep,True,True,2022-02-07 23:20:32.418,"['conditional_probability', 'independence_and_bayes’_theorem']"
3,4e96c5b4da1630955f21437c84abce422d24c39b,a8b6b9fLinear18,a8b6b9fLinear18a,,answerStep,True,True,2022-02-08 00:21:27.578,['use_a_general_strategy_to_solve_linear_equations']
4,4e96c5b4da1630955f21437c84abce422d24c39b,a8b6b9fLinear29,a8b6b9fLinear29a,,answerStep,True,True,2022-02-08 00:23:05.158,['use_a_general_strategy_to_solve_linear_equations']
5,7108e72dc298b17b3ad2ae45da83bd3706ff53af,a4b48f4RealNums9,a4b48f4RealNums9a,,answerStep,True,True,2022-02-12 00:15:46.378,['properties_of_real_numbers']
6,0bfb70fbcdf78069bd40d74a611504a118af0ed9,a3d9e92Inequality14,a3d9e92Inequality14a,,answerStep,False,True,2022-02-12 23:59:59.935,"['solve_compound_inequalities_with_""and""']"
7,0bfb70fbcdf78069bd40d74a611504a118af0ed9,a3d9e92Inequality14,a3d9e92Inequality14a,,unlockHint,,,2022-02-13 00:00:24.871,"['solve_compound_inequalities_with_""and""']"
8,0bfb70fbcdf78069bd40d74a611504a118af0ed9,a3d9e92Inequality14,a3d9e92Inequality14a,,unlockHint,,,2022-02-13 00:00:26.071,"['solve_compound_inequalities_with_""and""']"
9,0bfb70fbcdf78069bd40d74a611504a118af0ed9,a3d9e92Inequality14,a3d9e92Inequality14a,,unlockHint,,,2022-02-13 00:00:28.261,"['solve_compound_inequalities_with_""and""']"
10,0bfb70fbcdf78069bd40d74a611504a118af0ed9,a3d9e92Inequality14,a3d9e92Inequality14a,,unlockHint,,,2022-02-13 00:00:37.512,"['solve_compound_inequalities_with_""and""']"
11,0bfb70fbcdf78069bd40d74a611504a118af0ed9,a3d9e92Inequality3,a3d9e92Inequality3a,,answerStep,True,True,2022-02-13 00:02:49.449,"['solve_compound_inequalities_with_""and""']"
